id;state;date;amount;currency_name;currency_code;from;to;description
650703;EXECUTED;2023-09-05T11:30:32Z;16210;Sol;PEN;Счет 58803664561298323391;Счет 39745660563456619397;Перевод организации
3598919;EXECUTED;2020-12-06T23:00:58Z;29740;Peso;COP;Discover 3172601889670065;Discover 0720428384694643;Перевод с карты на карту
593027;CANCELED;2023-07-22T05:02:01Z;30368;Shilling;TZS;Visa 1959232722494097;Visa 6804119550473710;Перевод с карты на карту
366176;EXECUTED;2020-08-02T09:35:18Z;29482;Rupiah;IDR;Discover 0325955596714937;Visa 3820488829287420;Перевод с карты на карту
5380041;CANCELED;2021-02-01T11:54:58Z;23789;Peso;UYU;;Счет 23294994494356835683;Открытие вклада
1962667;EXECUTED;2023-10-22T09:43:32Z;18588;Peso;COP;Mastercard 7286844946221431;Счет 76145988629288763144;Перевод организации
5294458;EXECUTED;2022-06-20T18:08:20Z;16836;Yuan Renminbi;CNY;Visa 2759011965877198;Счет 38287443300766991082;Перевод с карты на карту
5429839;EXECUTED;2023-06-23T19:46:34Z;25261;Hryvnia;UAH;;Счет 76768135089446747029;Открытие вклада
3226899;EXECUTED;2023-04-17T09:21:15Z;21680;Koruna;CZK;;Счет 88329674734590848775;Открытие вклада
3176764;CANCELED;2022-08-24T14:32:38Z;16652;Euro;EUR;Mastercard 8387037425051294;American Express 5556525473658852;Перевод с карты на карту
4234093;EXECUTED;2021-07-08T07:31:21Z;23182;Ruble;RUB;Visa 0773092093872450;Discover 8602781449570491;Перевод с карты на карту
3107343;EXECUTED;2023-01-25T13:33:00Z;33639;Krona;SEK;;Счет 35662766798195077538;Открытие вклада
2130098;PENDING;2020-06-07T11:11:36Z;30731;Euro;EUR;Visa 5749750597771353;American Express 9106381490184499;Перевод с карты на карту
4653427;PENDING;2020-10-04T12:12:23Z;34072;Yuan Renminbi;CNY;Discover 9058011549803523;Mastercard 5266726031439012;Перевод с карты на карту
4641894;EXECUTED;2021-08-30T12:27:22Z;11111;Krona;SEK;;Счет 53688013223998817599;Открытие вклада
4813301;EXECUTED;2021-11-02T13:32:15Z;15080;Euro;EUR;Счет 65547878890984510340;Счет 91457207307678002163;Перевод со счета на счет
1449073;CANCELED;2021-05-11T10:06:51Z;11834;Rupiah;IDR;Счет 17847122626293622323;Счет 68570011224094542755;Перевод со счета на счет
2029174;EXECUTED;2022-08-09T17:12:27Z;34143;Yuan Renminbi;CNY;Visa 2717112074981212;Discover 8397322380849617;Перевод с карты на карту
293898;EXECUTED;2023-05-14T18:57:16Z;14031;Peso;PHP;Visa 5962584244183755;Mastercard 8961651103972237;Перевод с карты на карту
1849472;EXECUTED;2021-09-24T14:59:04Z;21741;Yen;JPY;Visa 6665114452549732;American Express 7292521342622607;Перевод с карты на карту
2264916;EXECUTED;2020-12-04T22:59:07Z;25833;Yuan Renminbi;CNY;Discover 2227841726977189;Mastercard 3354646664448456;Перевод с карты на карту
5371445;PENDING;2023-10-19T03:51:33Z;19556;Yuan Renminbi;CNY;Discover 2269057629158313;Discover 1467530652300402;Перевод с карты на карту
5317785;EXECUTED;2020-02-17T01:03:47Z;29816;Zloty;PLN;;Счет 78438276133237705218;Открытие вклада
3373740;EXECUTED;2020-02-22T02:10:18Z;12439;Peso;MXN;Discover 3471032641828884;Mastercard 3506550658550576;Перевод с карты на карту
1527905;CANCELED;2021-01-15T05:10:15Z;19664;Hryvnia;UAH;Visa 9812145096080028;Mastercard 2052066307781062;Перевод с карты на карту
5447107;EXECUTED;2021-11-01T03:49:47Z;18924;Peso;MXN;Visa 1750234568535711;Mastercard 1365460456366991;Перевод с карты на карту
1690784;CANCELED;2021-11-02T02:03:05Z;27487;Rupiah;IDR;Mastercard 4126837433624990;Visa 1620199906118385;Перевод с карты на карту
1838163;EXECUTED;2020-12-11T05:45:02Z;18154;Yuan Renminbi;CNY;Mastercard 9557665746204580;Discover 0970136905701523;Перевод с карты на карту
5368178;PENDING;2020-07-07T13:57:01Z;22557;Yuan Renminbi;CNY;Mastercard 4225154400758745;Mastercard 0556460753444710;Перевод с карты на карту
1068715;PENDING;2023-08-03T16:00:37Z;18891;Yuan Renminbi;CNY;;Счет 04362233061130879079;Открытие вклада
302564;EXECUTED;2021-01-05T12:20:25Z;21153;Euro;EUR;;Счет 65381695235722669691;Открытие вклада
1408892;EXECUTED;2020-08-15T15:35:06Z;16101;Peso;COP;American Express 7606039262578692;Счет 35266864227613549441;Перевод организации
1556435;EXECUTED;2020-06-17T02:29:13Z;27776;Sol;PEN;Mastercard 1191143054153256;Счет 48560440734108989910;Перевод организации
2832473;EXECUTED;2022-01-11T00:56:43Z;12360;Euro;EUR;Discover 5736874734579262;Visa 7416410722264963;Перевод с карты на карту
448808;EXECUTED;2020-02-02T02:06:15Z;14192;Dollar;CAD;Mastercard 8790526356570257;Visa 4436252184653909;Перевод с карты на карту
3143449;EXECUTED;2023-08-31T11:11:51Z;32957;Real;BRL;Visa 9446732032111774;Mastercard 3661534380456235;Перевод с карты на карту
2196934;EXECUTED;2022-04-05T07:17:04Z;24588;Dinar;TND;Счет 68856226464168431377;Счет 64009673148302301520;Перевод со счета на счет
2051401;PENDING;2023-01-14T13:59:44Z;21616;Franc;XAF;Discover 8023806415405011;Discover 4330675064880873;Перевод с карты на карту
1724852;EXECUTED;2021-04-22T20:18:44Z;32530;Peso;COP;Discover 3003758800594505;Discover 3913900928954933;Перевод с карты на карту
3042949;CANCELED;2020-12-28T00:23:57Z;15619;Yen;JPY;Счет 89171183136098678575;Счет 37156155340203759995;Перевод со счета на счет
2035682;EXECUTED;2021-03-24T00:14:15Z;15992;Rupiah;IDR;Visa 9460814254923403;Visa 4565912603866373;Перевод с карты на карту
1801202;EXECUTED;2021-08-31T20:53:22Z;31579;Peso;PHP;Счет 75916879130750839461;Счет 89355195304817814223;Перевод организации
2377317;PENDING;2023-08-14T09:58:41Z;23305;Koruna;CZK;;Счет 60476196595963796362;Открытие вклада
1199673;EXECUTED;2020-10-07T08:49:52Z;25677;Peso;PHP;American Express 9868997595486172;Visa 0291209661494166;Перевод с карты на карту
2402660;EXECUTED;2020-03-01T14:39:08Z;11132;Dollar;CAD;;Счет 53522779957660382631;Открытие вклада
930103;EXECUTED;2020-11-30T08:30:48Z;12031;Rupiah;IDR;Mastercard 8149574569861684;Discover 1229618072674328;Перевод с карты на карту
3960261;EXECUTED;2020-04-12T17:56:59Z;18611;Dollar;USD;;Счет 05766968807462300151;Открытие вклада
1588406;EXECUTED;2021-01-01T14:58:40Z;19924;Rupiah;IDR;Mastercard 4505964110651645;American Express 9119180451193008;Перевод с карты на карту
332490;EXECUTED;2020-12-07T22:38:54Z;28162;Euro;EUR;;Счет 91982937938752279229;Открытие вклада
5134725;CANCELED;2023-11-09T13:19:45Z;16096;Quetzal;GTQ;Счет 57742872757718903241;Счет 60843316198982025818;Перевод со счета на счет
4011624;EXECUTED;2023-01-10T22:13:49Z;25311;Yuan Renminbi;CNY;Discover 6760437696186407;Mastercard 2625117508517464;Перевод с карты на карту
4739714;CANCELED;2021-03-16T09:50:38Z;29700;Baht;THB;Discover 5448680041474638;Счет 81509213611289630443;Перевод организации
1458490;CANCELED;2022-07-27T14:48:56Z;12715;Rupiah;IDR;Mastercard 7898353316523010;Discover 7865481033896023;Перевод с карты на карту
4115243;EXECUTED;2020-10-02T00:58:23Z;33795;Ariary;MGA;Mastercard 4128552733966298;Visa 3778726670159351;Перевод с карты на карту
3231212;EXECUTED;2021-12-07T14:29:02Z;25077;Real;BRL;Mastercard 7071811090567326;Visa 3745592687709450;Перевод с карты на карту
1781876;PENDING;2023-02-20T11:08:40Z;24586;Franc;XAF;American Express 4188660988695878;American Express 4670165143133955;Перевод с карты на карту
3422007;EXECUTED;2022-02-16T00:17:31Z;14786;Peso;PHP;Счет 85848394284577523191;Счет 40992043018007723745;Перевод организации
2833087;EXECUTED;2022-09-02T21:13:15Z;28421;Hryvnia;UAH;Счет 93938816885471635309;Счет 27679999248091965215;Перевод со счета на счет
3211835;CANCELED;2020-07-03T13:56:11Z;30035;Rial;QAR;Visa 8001999082783412;Mastercard 0430116126947445;Перевод с карты на карту
2627887;CANCELED;2020-01-03T17:08:51Z;18001;Yuan Renminbi;CNY;Mastercard 8757974222871146;Discover 7955094807047223;Перевод с карты на карту
;;;;;;;;
632926;PENDING;2021-11-27T00:46:09Z;29553;Yuan Renminbi;CNY;American Express 6477627838877562;Счет 88381741644903346269;Перевод организации
1539387;EXECUTED;2023-07-29T18:13:23Z;13130;Real;BRL;American Express 9646246622784373;American Express 2760544280145973;Перевод с карты на карту
2919081;EXECUTED;2021-12-23T06:40:02Z;23726;Rupiah;IDR;Mastercard 6966877136646759;Mastercard 7149835655551156;Перевод с карты на карту
5409974;EXECUTED;2022-12-20T08:11:01Z;11789;Franc;CDF;Discover 0845299006275838;Discover 2238215145916055;Перевод с карты на карту
1465795;EXECUTED;2023-10-28T22:58:25Z;12963;Rupiah;IDR;;Счет 83116045167866860279;Открытие вклада
5055836;PENDING;2022-04-05T03:29:08Z;24796;Zloty;PLN;Mastercard 3588035503290783;Счет 44168961306050363869;Перевод организации
282352;PENDING;2020-12-26T09:39:00Z;32566;Rupiah;IDR;;Счет 87117715624747483097;Открытие вклада
38740;CANCELED;2023-03-02T12:46:35Z;33674;Ariary;MGA;Счет 61015985923842638044;Счет 34727735024098321865;Перевод со счета на счет
1803973;EXECUTED;2021-09-09T20:25:03Z;13009;Peso;PHP;Mastercard 0079195383170544;Discover 7445133491149659;Перевод с карты на карту
3162071;EXECUTED;2022-11-02T17:44:03Z;20231;Rial;YER;American Express 9087124023963879;Visa 0990855089517781;Перевод с карты на карту
3463793;PENDING;2020-02-25T07:24:59Z;17655;Ruble;RUB;Mastercard 4597611385572324;Visa 0264849140954307;Перевод с карты на карту
2583513;EXECUTED;2020-05-08T02:59:40Z;30473;Yen;JPY;American Express 4260348734990886;Discover 1623518562383702;Перевод с карты на карту
4259899;EXECUTED;2021-08-11T12:25:51Z;12851;Yuan Renminbi;CNY;Discover 0600840143829444;Mastercard 7956693555283113;Перевод с карты на карту
2537217;EXECUTED;2023-06-27T19:53:05Z;25820;Yuan Renminbi;CNY;American Express 6339650600215322;Discover 8283404354492955;Перевод с карты на карту
2599473;EXECUTED;2021-07-04T01:56:56Z;22779;Krone;NOK;Mastercard 2283997217382528;Счет 17324177990501599734;Перевод организации
857580;CANCELED;2021-09-12T03:53:28Z;27751;Yuan Renminbi;CNY;Visa 0651250633302056;Visa 3311516734954339;Перевод с карты на карту
5008516;PENDING;2023-06-30T04:31:34Z;19988;Baht;THB;Discover 0631296518388969;Mastercard 6497034908492124;Перевод с карты на карту
1371181;EXECUTED;2021-12-29T01:39:49Z;26515;Peso;PHP;American Express 5977388088493805;American Express 6189163301783812;Перевод с карты на карту
